"section_id","schedule"
33158,"FR2023-05-05 00:00:0008:59Dwinelle 2152023-01-17 00:00:0008:00"
27494,"FR2023-05-05 00:00:0008:59Dwinelle 2292023-01-17 00:00:0008:00"
24960,"FR2023-05-05 00:00:0008:59Dwinelle 2512023-01-17 00:00:0008:00"
28891,"FR2023-05-05 00:00:0008:59Etcheverry 31062023-01-17 00:00:0008:00"
22128,"FR2023-05-05 00:00:0008:59Evans 22023-01-17 00:00:0008:00"
25368,"FR2023-05-05 00:00:0008:59Moffitt Library 1042023-01-17 00:00:0008:00"
25745,"FR2023-05-05 00:00:0008:59Moffitt Library 1042023-01-17 00:00:0008:00"
23035,"FR2023-05-05 00:00:0008:59Social Sciences Building 1512023-01-17 00:00:0008:00"
32903,"FR2023-05-05 00:00:0008:59Social Sciences Building 1512023-01-17 00:00:0008:00"
26214,"FR2023-05-05 00:00:0008:59Valley Life Sciences 20302023-01-17 00:00:0008:00"
26217,"FR2023-05-05 00:00:0008:59Valley Life Sciences 20322023-01-17 00:00:0008:00"
29809,"FR2023-05-05 00:00:0008:59Wheeler 242023-01-17 00:00:0008:00"
31562,"FR2023-05-05 00:00:0009:59Anthro/Art Practice Bldg 2952023-01-17 00:00:0009:00"
22282,"FR2023-05-05 00:00:0009:59Barker 1102023-01-17 00:00:0009:00"
23519,"FR2023-05-05 00:00:0009:59Berkeley Way West 12132023-01-17 00:00:0009:00"
30221,"FR2023-05-05 00:00:0009:59Cory 2372023-01-17 00:00:0009:00"
27577,"FR2023-05-05 00:00:0009:59Cory 2412023-01-17 00:00:0009:00"
26013,"FR2023-05-05 00:00:0009:59Cory 2892023-01-17 00:00:0009:00"
28001,"FR2023-05-05 00:00:0009:59Cory 2892023-01-17 00:00:0009:00"
29330,"FR2023-05-05 00:00:0009:59Cory 2992023-01-17 00:00:0009:00"
29517,"FR2023-05-05 00:00:0009:59Cory 5212023-01-17 00:00:0009:00"
23773,"FR2023-05-05 00:00:0009:59Dwinelle 1052023-01-17 00:00:0009:00"
27938,"FR2023-05-05 00:00:0009:59Dwinelle 1092023-01-17 00:00:0009:00"
27312,"FR2023-05-05 00:00:0009:59Dwinelle 1342023-01-17 00:00:0009:00"
21876,"FR2023-05-05 00:00:0009:59Dwinelle 1822023-01-17 00:00:0008:00"
29721,"FR2023-05-05 00:00:0009:59Dwinelle 1822023-01-17 00:00:0008:00"
29966,"FR2023-05-05 00:00:0009:59Dwinelle 2052023-01-17 00:00:0009:00"
30237,"FR2023-05-05 00:00:0009:59Dwinelle 2052023-01-17 00:00:0009:00"
27407,"FR2023-05-05 00:00:0009:59Dwinelle 2092023-01-17 00:00:0008:00"
23476,"FR2023-05-05 00:00:0009:59Dwinelle 2112023-01-17 00:00:0009:00"
33159,"FR2023-05-05 00:00:0009:59Dwinelle 2152023-01-17 00:00:0009:00"
26702,"FR2023-05-05 00:00:0009:59Dwinelle 2232023-01-17 00:00:0009:00"
27495,"FR2023-05-05 00:00:0009:59Dwinelle 2292023-01-17 00:00:0009:00"
25527,"FR2023-05-05 00:00:0009:59Dwinelle 2422023-01-17 00:00:0009:00"
25529,"FR2023-05-05 00:00:0009:59Dwinelle 2432023-01-17 00:00:0009:00"
24961,"FR2023-05-05 00:00:0009:59Dwinelle 2592023-01-17 00:00:0009:00"
25525,"FR2023-05-05 00:00:0009:59Dwinelle 2832023-01-17 00:00:0009:00"
25531,"FR2023-05-05 00:00:0009:59Dwinelle 792023-01-17 00:00:0009:00"
26009,"FR2023-05-05 00:00:0009:59Dwinelle 832023-01-17 00:00:0009:00"
26008,"FR2023-05-05 00:00:0009:59Dwinelle 872023-01-17 00:00:0009:00"
26905,"FR2023-05-05 00:00:0009:59Etcheverry 31072023-01-17 00:00:0008:00"
31704,"FR2023-05-05 00:00:0009:59Etcheverry 31082023-01-17 00:00:0009:00"
26907,"FR2023-05-05 00:00:0009:59Etcheverry 31112023-01-17 00:00:0008:00"
26906,"FR2023-05-05 00:00:0009:59Etcheverry 31132023-01-17 00:00:0008:00"
26404,"FR2023-05-05 00:00:0009:59Etcheverry 31192023-01-17 00:00:0009:00"
22525,"FR2023-05-05 00:00:0009:59Evans 472023-01-17 00:00:0009:00"
30255,"FR2023-05-05 00:00:0009:59Evans 512023-01-17 00:00:0009:00"
30283,"FR2023-05-05 00:00:0009:59Evans 552023-01-17 00:00:0009:00"
30370,"FR2023-05-05 00:00:0009:59Evans 612023-01-17 00:00:0009:00"
22129,"FR2023-05-05 00:00:0009:59Evans 702023-01-17 00:00:0009:00"
30220,"FR2023-05-05 00:00:0009:59Evans 72023-01-17 00:00:0009:00"
24278,"FR2023-05-05 00:00:0009:59Evans 872023-01-17 00:00:0009:00"
29755,"FR2023-05-05 00:00:0009:59GSPP 1052023-01-17 00:00:0008:30"
29757,"FR2023-05-05 00:00:0009:59GSPP 2502023-01-17 00:00:0008:30"
25874,"FR2023-05-05 00:00:0009:59Hearst Gym 2342023-01-17 00:00:0008:00"
21879,"FR2023-05-05 00:00:0009:59Hearst Gym 2422023-01-17 00:00:0008:00"
29724,"FR2023-05-05 00:00:0009:59Hearst Gym 2422023-01-17 00:00:0008:00"
21455,"FR2023-05-05 00:00:0009:59Hearst Gym 2452023-01-17 00:00:0008:00"
29079,"FR2023-05-05 00:00:0009:59Hearst Mining 2402023-01-17 00:00:0008:00"
23716,"FR2023-05-05 00:00:0009:59Jacobs Hall 102023-01-17 00:00:0009:00"
23723,"FR2023-05-05 00:00:0009:59Jacobs Hall 102023-01-17 00:00:0009:00"
30244,"FR2023-05-05 00:00:0009:59Latimer 1052023-01-17 00:00:0009:00"
30960,"FR2023-05-05 00:00:0009:59Latimer 1222023-01-17 00:00:0009:00"
20714,"FR2023-05-05 00:00:0009:59Lewis 92023-01-17 00:00:0009:00"
20872,"FR2023-05-05 00:00:0009:59McCone 1452023-01-17 00:00:0009:00"
32712,"FR2023-05-05 00:00:0009:59Moffitt Library 1012023-01-17 00:00:0009:00"
32713,"FR2023-05-05 00:00:0009:59Moffitt Library 1012023-01-17 00:00:0009:00"
32943,"FR2023-05-05 00:00:0009:59Moffitt Library 1012023-01-17 00:00:0009:00"
32945,"FR2023-05-05 00:00:0009:59Moffitt Library 1012023-01-17 00:00:0009:00"
25369,"FR2023-05-05 00:00:0009:59Moffitt Library 1042023-01-17 00:00:0009:00"
25746,"FR2023-05-05 00:00:0009:59Moffitt Library 1042023-01-17 00:00:0009:00"
31858,"FR2023-05-05 00:00:0009:59Morrison 1252023-01-17 00:00:0009:00"
22450,"FR2023-05-05 00:00:0009:59Morrison 2502023-01-17 00:00:0009:00"
24192,"FR2023-05-05 00:00:0009:59Physics Building 3852023-01-17 00:00:0009:00"
27809,"FR2023-05-05 00:00:0009:59Social Sciences Building 1042023-01-17 00:00:0009:00"
23036,"FR2023-05-05 00:00:0009:59Social Sciences Building 1512023-01-17 00:00:0009:00"
32904,"FR2023-05-05 00:00:0009:59Social Sciences Building 1512023-01-17 00:00:0009:00"
27810,"FR2023-05-05 00:00:0009:59Social Sciences Building 1552023-01-17 00:00:0009:00"
25415,"FR2023-05-05 00:00:0009:59Social Sciences Building 1742023-01-17 00:00:0009:00"
32921,"FR2023-05-05 00:00:0009:59Social Sciences Building 1852023-01-17 00:00:0008:00"
23228,"FR2023-05-05 00:00:0009:59Social Sciences Building 4022023-01-17 00:00:0008:00"
33081,"FR2023-05-05 00:00:0009:59Social Sciences Building 742023-01-17 00:00:0009:00"
23992,"FR2023-05-05 00:00:0009:59Social Sciences Building 762023-01-17 00:00:0009:00"
28389,"FR2023-05-05 00:00:0009:59Soda 3102023-01-17 00:00:0009:00"
20004,"FR2023-05-05 00:00:0009:59South Hall 2022023-01-17 00:00:0009:00"
33338,"FR2023-05-05 00:00:0009:59South Hall 2022023-01-17 00:00:0009:00"
24748,"FR2023-05-05 00:00:0009:59Valley Life Sciences 20302023-01-17 00:00:0009:00"
26218,"FR2023-05-05 00:00:0009:59Valley Life Sciences 20322023-01-17 00:00:0009:00"
26215,"FR2023-05-05 00:00:0009:59Valley Life Sciences 20382023-01-17 00:00:0009:00"
22303,"FR2023-05-05 00:00:0009:59Valley Life Sciences 20622023-01-17 00:00:0009:00"
21757,"FR2023-05-05 00:00:0009:59Valley Life Sciences 30192023-01-17 00:00:0009:00"
21451,"FR2023-05-05 00:00:0009:59Wheeler  1042023-01-17 00:00:0008:00"
32915,"FR2023-05-05 00:00:0009:59Wheeler 1202023-01-17 00:00:0009:00"
23479,"FR2023-05-05 00:00:0009:59Wheeler 1222023-01-17 00:00:0009:00"
26096,"FR2023-05-05 00:00:0009:59Wheeler 1242023-01-17 00:00:0009:00"
27083,"FR2023-05-05 00:00:0009:59Wheeler 2102023-01-17 00:00:0009:00"
23873,"FR2023-05-05 00:00:0009:59Wheeler 242023-01-17 00:00:0009:00"
26715,"FR2023-05-05 00:00:0009:59Wheeler 302023-01-17 00:00:0008:00"
30044,"FR2023-05-05 00:00:0009:59Wurster 1122023-01-17 00:00:0009:00"
29892,"FR2023-05-05 00:00:0009:59Wurster 214B2023-01-17 00:00:0009:00"
30051,"FR2023-05-05 00:00:0009:59Wurster 3702023-01-17 00:00:0009:00"
31563,"FR2023-05-05 00:00:0010:59Anthro/Art Practice Bldg 2952023-01-17 00:00:0010:00"
32638,"FR2023-05-05 00:00:0010:59Berkeley Way West 42152023-01-17 00:00:0009:00"
28715,"FR2023-05-05 00:00:0010:59Cory 1052023-01-17 00:00:0008:00"
28723,"FR2023-05-05 00:00:0010:59Cory 1052023-01-17 00:00:0008:00"
30589,"FR2023-05-05 00:00:0010:59Cory 1052023-01-17 00:00:0008:00"
28978,"FR2023-05-05 00:00:0010:59Cory 1252023-01-17 00:00:0008:00"
29317,"FR2023-05-05 00:00:0010:59Cory 1402023-01-17 00:00:0008:00"
31061,"FR2023-05-05 00:00:0010:59Cory 2412023-01-17 00:00:0010:00"
28759,"FR2023-05-05 00:00:0010:59Cory 2472023-01-17 00:00:0010:00"
33612,"FR2023-05-05 00:00:0010:59Cory 2852023-01-17 00:00:0010:00"
28765,"FR2023-05-05 00:00:0010:59Cory 5212023-01-17 00:00:0010:00"
29362,"FR2023-05-05 00:00:0010:59Davis 5442023-01-17 00:00:0009:00"
29362,"FR2023-05-05 00:00:0010:59Davis 5442023-01-17 00:00:0009:00"
25533,"FR2023-05-05 00:00:0010:59Dwinelle 1822023-01-17 00:00:0010:00"
26010,"FR2023-05-05 00:00:0010:59Dwinelle 2052023-01-17 00:00:0010:00"
23477,"FR2023-05-05 00:00:0010:59Dwinelle 2112023-01-17 00:00:0010:00"
23480,"FR2023-05-05 00:00:0010:59Dwinelle 2252023-01-17 00:00:0010:00"
20672,"FR2023-05-05 00:00:0010:59Dwinelle 2292023-01-17 00:00:0010:00"
22223,"FR2023-05-05 00:00:0010:59Dwinelle 2292023-01-17 00:00:0010:00"
25732,"FR2023-05-05 00:00:0010:59Etcheverry 31052023-01-17 00:00:0010:00"
27037,"FR2023-05-05 00:00:0010:59Etcheverry 31052023-01-17 00:00:0010:00"
30876,"FR2023-05-05 00:00:0010:59Etcheverry 31062023-01-17 00:00:0010:00"
30905,"FR2023-05-05 00:00:0010:59Etcheverry 31062023-01-17 00:00:0010:00"
29327,"FR2023-05-05 00:00:0010:59Etcheverry 31082023-01-17 00:00:0010:00"
25537,"FR2023-05-05 00:00:0010:59Etcheverry 31112023-01-17 00:00:0010:00"
29967,"FR2023-05-05 00:00:0010:59Etcheverry 31132023-01-17 00:00:0010:00"
30238,"FR2023-05-05 00:00:0010:59Etcheverry 31132023-01-17 00:00:0010:00"
22287,"FR2023-05-05 00:00:0010:59Etcheverry 31192023-01-17 00:00:0010:00"
22130,"FR2023-05-05 00:00:0010:59Evans 32023-01-17 00:00:0010:00"
25671,"FR2023-05-05 00:00:0010:59Evans 3342023-01-17 00:00:0009:00"
25674,"FR2023-05-05 00:00:0010:59Evans 3342023-01-17 00:00:0009:00"
25742,"FR2023-05-05 00:00:0010:59Evans 3422023-01-17 00:00:0010:00"
23323,"FR2023-05-05 00:00:0010:59Evans 3442023-01-17 00:00:0009:00"
22526,"FR2023-05-05 00:00:0010:59Evans 72023-01-17 00:00:0010:00"
25535,"FR2023-05-05 00:00:0010:59Genetics & Plant Bio 1032023-01-17 00:00:0010:00"
25539,"FR2023-05-05 00:00:0010:59Hearst Field Annex B12023-01-17 00:00:0010:00"
30377,"FR2023-05-05 00:00:0010:59Hearst Field Annex B52023-01-17 00:00:0010:00"
31327,"FR2023-05-05 00:00:0010:59Hearst Gym 2452023-01-17 00:00:0010:00"
32708,"FR2023-05-05 00:00:0010:59Hearst Gym North Field2023-01-17 00:00:0009:00"
29088,"FR2023-05-05 00:00:0010:59Hearst Mining 2402023-01-17 00:00:0010:00"
31169,"FR2023-05-05 00:00:0010:59Hesse 1202023-01-17 00:00:0008:00"
33325,"FR2023-05-05 00:00:0010:59Hesse 452023-01-17 00:00:0010:00"
33326,"FR2023-05-05 00:00:0010:59Hesse 452023-01-17 00:00:0010:00"
26311,"FR2023-05-05 00:00:0010:59Hildebrand B512023-01-17 00:00:0010:00"
26405,"FR2023-05-05 00:00:0010:59Hildebrand B562023-01-17 00:00:0010:00"
23717,"FR2023-05-05 00:00:0010:59Jacobs Hall 102023-01-17 00:00:0010:00"
23724,"FR2023-05-05 00:00:0010:59Jacobs Hall 102023-01-17 00:00:0010:00"
29038,"FR2023-05-05 00:00:0010:59Jacobs Hall 3102023-01-17 00:00:0010:00"
31172,"FR2023-05-05 00:00:0010:59Latimer 1022023-01-17 00:00:0010:00"
22389,"FR2023-05-05 00:00:0010:59Li Ka Shing 1252023-01-17 00:00:0010:00"
31709,"FR2023-05-05 00:00:0010:59Moffitt Library 1022023-01-17 00:00:0010:00"
25370,"FR2023-05-05 00:00:0010:59Moffitt Library 1042023-01-17 00:00:0010:00"
25747,"FR2023-05-05 00:00:0010:59Moffitt Library 1042023-01-17 00:00:0010:00"
29306,"FR2023-05-05 00:00:0010:59Morgan 1092023-01-17 00:00:0010:00"
31860,"FR2023-05-05 00:00:0010:59Morrison 1242023-01-17 00:00:0010:00"
31859,"FR2023-05-05 00:00:0010:59Morrison 1252023-01-17 00:00:0010:00"
22451,"FR2023-05-05 00:00:0010:59Morrison 2502023-01-17 00:00:0010:00"
10014,"FR2023-05-05 00:00:0010:59Social Sciences Building 1042023-01-17 00:00:0010:00"
10014,"FR2023-05-05 00:00:0010:59Social Sciences Building 1042023-01-17 00:00:0010:00"
23774,"FR2023-05-05 00:00:0010:59Social Sciences Building 1362023-01-17 00:00:0010:00"
10027,"FR2023-05-05 00:00:0010:59Social Sciences Building 1512023-01-17 00:00:0010:00"
10027,"FR2023-05-05 00:00:0010:59Social Sciences Building 1512023-01-17 00:00:0010:00"
21052,"FR2023-05-05 00:00:0010:59Social Sciences Building 1552023-01-17 00:00:0010:00"
33419,"FR2023-05-05 00:00:0010:59Social Sciences Building 1742023-01-17 00:00:0010:00"
21470,"FR2023-05-05 00:00:0010:59Social Sciences Building 1752023-01-17 00:00:0009:00"
25307,"FR2023-05-05 00:00:0010:59Social Sciences Building 1852023-01-17 00:00:0010:00"
25170,"FR2023-05-05 00:00:0010:59Social Sciences Building 1922023-01-17 00:00:0010:00"
30222,"FR2023-05-05 00:00:0010:59Social Sciences Building 502023-01-17 00:00:0010:00"
33083,"FR2023-05-05 00:00:0010:59Social Sciences Building 742023-01-17 00:00:0010:00"
32976,"FR2023-05-05 00:00:0010:59Social Sciences Building 762023-01-17 00:00:0010:00"
28292,"FR2023-05-05 00:00:0010:59Soda 2712023-01-17 00:00:0009:00"
28293,"FR2023-05-05 00:00:0010:59Soda 2732023-01-17 00:00:0009:00"
28294,"FR2023-05-05 00:00:0010:59Soda 2752023-01-17 00:00:0009:00"
28295,"FR2023-05-05 00:00:0010:59Soda 2772023-01-17 00:00:0009:00"
33576,"FR2023-05-05 00:00:0010:59Soda 3102023-01-17 00:00:0010:00"
28256,"FR2023-05-05 00:00:0010:59Soda 3202023-01-17 00:00:0009:30"
28296,"FR2023-05-05 00:00:0010:59Soda 3302023-01-17 00:00:0009:00"
32866,"FR2023-05-05 00:00:0010:59Soda 4052023-01-17 00:00:0009:00"
32866,"FR2023-05-05 00:00:0010:59Soda 4052023-01-17 00:00:0009:00"
19985,"FR2023-05-05 00:00:0010:59South Hall 2022023-01-17 00:00:0010:00"
29706,"FR2023-05-05 00:00:0010:59Stanley 1792023-01-17 00:00:0010:00"
26219,"FR2023-05-05 00:00:0010:59Valley Life Sciences 20302023-01-17 00:00:0010:00"
24749,"FR2023-05-05 00:00:0010:59Valley Life Sciences 20322023-01-17 00:00:0010:00"
21283,"FR2023-05-05 00:00:0010:59Valley Life Sciences 20662023-01-17 00:00:0010:00"
23448,"FR2023-05-05 00:00:0010:59Valley Life Sciences 20662023-01-17 00:00:0010:00"
26216,"FR2023-05-05 00:00:0010:59Valley Life Sciences 20702023-01-17 00:00:0010:00"
21758,"FR2023-05-05 00:00:0010:59Valley Life Sciences 30192023-01-17 00:00:0010:00"
30368,"FR2023-05-05 00:00:0010:59Wheeler  1042023-01-17 00:00:0010:00"
28711,"FR2023-05-05 00:00:0010:59Wheeler 1082023-01-17 00:00:0010:00"
28712,"FR2023-05-05 00:00:0010:59Wheeler 1082023-01-17 00:00:0010:00"
32664,"FR2023-05-05 00:00:0010:59Wheeler 1202023-01-17 00:00:0010:00"
21880,"FR2023-05-05 00:00:0010:59Wheeler 1302023-01-17 00:00:0009:00"
29725,"FR2023-05-05 00:00:0010:59Wheeler 1302023-01-17 00:00:0009:00"
27084,"FR2023-05-05 00:00:0010:59Wheeler 2102023-01-17 00:00:0010:00"
27937,"FR2023-05-05 00:00:0010:59Wheeler 2202023-01-17 00:00:0010:00"
30946,"FR2023-05-05 00:00:0010:59Wheeler 2242023-01-17 00:00:0010:00"
24322,"FR2023-05-05 00:00:0010:59Wheeler 242023-01-17 00:00:0010:00"
26011,"FR2023-05-05 00:00:0010:59Wheeler 302023-01-17 00:00:0010:00"
29893,"FR2023-05-05 00:00:0010:59Wurster 214B2023-01-17 00:00:0010:00"
30052,"FR2023-05-05 00:00:0010:59Wurster 3702023-01-17 00:00:0010:00"
19310,"FR2023-05-05 00:00:0011:00Evans 2412023-01-17 00:00:0010:00"
29807,"FR2023-05-05 00:00:0011:29GSPP 1052023-01-17 00:00:0010:00"
29758,"FR2023-05-05 00:00:0011:29GSPP 2502023-01-17 00:00:0010:00"
24586,"FR2023-05-05 00:00:0011:29Social Sciences Building 7492023-01-17 00:00:0009:30"
31564,"FR2023-05-05 00:00:0011:59Anthro/Art Practice Bldg 2952023-01-17 00:00:0011:00"
30359,"FR2023-05-05 00:00:0011:59Berkeley Way West 12032023-01-17 00:00:0010:00"
30359,"FR2023-05-05 00:00:0011:59Berkeley Way West 12032023-01-17 00:00:0010:00"
29324,"FR2023-05-05 00:00:0011:59Birge 502023-01-17 00:00:0010:00"
23841,"FR2023-05-05 00:00:0011:59Campbell Hall 1212023-01-17 00:00:0011:00"
23845,"FR2023-05-05 00:00:0011:59Campbell Hall 1212023-01-17 00:00:0011:00"
24933,"FR2023-05-05 00:00:0011:59Campbell Hall 1212023-01-17 00:00:0011:00"
23795,"FR2023-05-05 00:00:0011:59Campbell Hall 501B2023-01-17 00:00:0009:00"
23796,"FR2023-05-05 00:00:0011:59Campbell Hall 501B2023-01-17 00:00:0009:00"
28812,"FR2023-05-05 00:00:0011:59Cory 5212023-01-17 00:00:0011:00"
28469,"FR2023-05-05 00:00:0011:59Cory 540AB2023-01-17 00:00:0011:00"
19360,"FR2023-05-05 00:00:0011:59Davis 3452023-01-17 00:00:0009:00"
33469,"FR2023-05-05 00:00:0011:59Dwinelle 1342023-01-17 00:00:0011:00"
25547,"FR2023-05-05 00:00:0011:59Dwinelle 1822023-01-17 00:00:0011:00"
24074,"FR2023-05-05 00:00:0011:59Dwinelle 2112023-01-17 00:00:0011:00"
31015,"FR2023-05-05 00:00:0011:59Dwinelle 2152023-01-17 00:00:0011:00"
22285,"FR2023-05-05 00:00:0011:59Dwinelle 2192023-01-17 00:00:0011:00"
27764,"FR2023-05-05 00:00:0011:59Dwinelle 2192023-01-17 00:00:0011:00"
23950,"FR2023-05-05 00:00:0011:59Dwinelle 2232023-01-17 00:00:0011:00"
23975,"FR2023-05-05 00:00:0011:59Dwinelle 2252023-01-17 00:00:0011:00"
29239,"FR2023-05-05 00:00:0011:59Dwinelle 2292023-01-17 00:00:0011:00"
29361,"FR2023-05-05 00:00:0011:59Dwinelle 2292023-01-17 00:00:0011:00"
23976,"FR2023-05-05 00:00:0011:59Dwinelle 2332023-01-17 00:00:0011:00"
26483,"FR2023-05-05 00:00:0011:59Dwinelle 2422023-01-17 00:00:0011:00"
10028,"FR2023-05-05 00:00:0011:59Dwinelle 792023-01-17 00:00:0011:00"
10028,"FR2023-05-05 00:00:0011:59Dwinelle 792023-01-17 00:00:0011:00"
29188,"FR2023-05-05 00:00:0011:59Etcheverry 11092023-01-17 00:00:0009:00"
29808,"FR2023-05-05 00:00:0011:59Etcheverry 31052023-01-17 00:00:0011:00"
31707,"FR2023-05-05 00:00:0011:59Etcheverry 31082023-01-17 00:00:0011:00"
24871,"FR2023-05-05 00:00:0011:59Evans 3422023-01-17 00:00:0011:00"
30384,"FR2023-05-05 00:00:0011:59Evans 392023-01-17 00:00:0011:00"
22527,"FR2023-05-05 00:00:0011:59Evans 412023-01-17 00:00:0011:00"
31664,"FR2023-05-05 00:00:0011:59Evans 452023-01-17 00:00:0011:00"
29434,"FR2023-05-05 00:00:0011:59Evans 602023-01-17 00:00:0011:00"
24292,"FR2023-05-05 00:00:0011:59Evans 6482023-01-17 00:00:0010:00"
30257,"FR2023-05-05 00:00:0011:59Evans 72023-01-17 00:00:0011:00"
22131,"FR2023-05-05 00:00:0011:59Evans 92023-01-17 00:00:0011:00"
29342,"FR2023-05-05 00:00:0011:59Genetics & Plant Bio 1072023-01-17 00:00:0011:00"
25541,"FR2023-05-05 00:00:0011:59Giannini 1412023-01-17 00:00:0011:00"
26521,"FR2023-05-05 00:00:0011:59Giannini 2012023-01-17 00:00:0011:00"
33822,"FR2023-05-05 00:00:0011:59Haviland 122023-01-17 00:00:0010:00"
33823,"FR2023-05-05 00:00:0011:59Haviland 122023-01-17 00:00:0010:00"
24781,"FR2023-05-05 00:00:0011:59Haviland 3402023-01-17 00:00:0010:00"
30478,"FR2023-05-05 00:00:0011:59Haviland 3402023-01-17 00:00:0010:00"
30470,"FR2023-05-05 00:00:0011:59Haviland 42023-01-17 00:00:0010:00"
32797,"FR2023-05-05 00:00:0011:59Hearst Gym 2342023-01-17 00:00:0010:00"
